file,prediction,confidence,distance
fan_bearing_002.wav,normal,0.646,0.548
fan_bearing_003.wav,bearing_issue,0.574,0.741
fan_bearing_004.wav,bearing_issue,0.557,0.796
fan_bearing_005.wav,bearing_issue,0.546,0.831
fan_bearing_006.wav,imbalance,0.497,1.01
fan_bearing_007.wav,bearing_issue,0.538,0.858
fan_bearing_008.wav,imbalance,0.539,0.855
fan_bearing_009.wav,bearing_issue,0.523,0.914
fan_bearing_010.wav,bearing_issue,0.5,1.0
fan_bearing_011.wav,normal,0.625,0.599
fan_bearing_012.wav,bearing_issue,0.607,0.648
fan_bearing_013.wav,bearing_issue,0.56,0.784
fan_bearing_014.wav,normal,0.629,0.59
fan_bearing_015.wav,bearing_issue,0.557,0.796
fan_bearing_016.wav,bearing_issue,0.575,0.738
fan_bearing_017.wav,normal,0.597,0.676
fan_bearing_018.wav,bearing_issue,0.601,0.665
fan_bearing_019.wav,bearing_issue,0.583,0.714
fan_bearing_020.wav,bearing_issue,0.594,0.683
fan_bearing_021.wav,bearing_issue,0.608,0.645
fan_bearing_022.wav,bearing_issue,0.611,0.636
fan_bearing_vid_audio_001.wav,normal,0.65,0.538
fan_bearing_vid_audio_002.wav,bearing_issue,0.551,0.815
fan_bearing_vid_audio_003.wav,normal,0.643,0.556
fan_bearing_vid_audio_004.wav,normal,0.666,0.501
fan_bearing_001.wav,bearing_issue,0.572,0.75
